category,n,text_only_exact_match,text_only_token_f1,zero_shot_vlm_exact_match,zero_shot_vlm_token_f1
text_only,15,0.0667,0.2758,0.0667,0.3957
image_diagram,59,0.0169,0.1472,0.0169,0.3065
table,27,0.0741,0.2384,0.0370,0.3789
chart_graph,16,0.0000,0.1347,0.0000,0.4116
layout_aware,33,0.0000,0.1984,0.0909,0.4558
OVERALL,150,0.0267,0.1864,0.0400,0.3725
